participant_id,block,block_type,trial,position,reaction_time,correct,attempts,timestamp
berg,5,structured,18,4,379.97,True,1,2025-05-14 17:47:17
berg,5,structured,19,1,330.81,True,1,2025-05-14 17:47:17
berg,5,structured,20,2,302.92,True,1,2025-05-14 17:47:18
berg,5,structured,21,1,410.73,True,1,2025-05-14 17:47:18
berg,5,structured,22,3,295.49,True,1,2025-05-14 17:47:19
berg,5,structured,23,2,368.92,True,1,2025-05-14 17:47:19
berg,5,structured,24,1,540.93,True,1,2025-05-14 17:47:20
berg,5,structured,25,4,310.91,True,1,2025-05-14 17:47:20
berg,5,structured,26,2,325.62,True,1,2025-05-14 17:47:21
berg,5,structured,27,3,303.91,True,1,2025-05-14 17:47:21
berg,5,structured,28,4,370.13,True,1,2025-05-14 17:47:22
berg,5,structured,29,1,294.98,True,1,2025-05-14 17:47:22
berg,5,structured,30,2,353.18,True,1,2025-05-14 17:47:22
berg,5,structured,31,1,501.29,True,1,2025-05-14 17:47:23
berg,5,structured,32,3,431.03,True,1,2025-05-14 17:47:24
berg,5,structured,33,2,334.18,True,1,2025-05-14 17:47:24
berg,5,structured,34,1,330.28,True,1,2025-05-14 17:47:24
berg,5,structured,35,4,403.92,True,1,2025-05-14 17:47:25
berg,5,structured,36,2,305.24,True,1,2025-05-14 17:47:25
berg,5,structured,37,3,293.19,True,1,2025-05-14 17:47:26
berg,5,structured,38,4,339.55,True,1,2025-05-14 17:47:26
berg,5,structured,39,1,373.53,True,1,2025-05-14 17:47:27
berg,5,structured,40,2,278.42,True,1,2025-05-14 17:47:27
berg,5,structured,41,1,383.54,True,1,2025-05-14 17:47:27
berg,5,structured,42,3,319.19,True,1,2025-05-14 17:47:28
berg,5,structured,43,2,366.3,True,1,2025-05-14 17:47:28
berg,5,structured,44,1,580.92,True,1,2025-05-14 17:47:29
berg,5,structured,45,4,308.04,True,1,2025-05-14 17:47:29
berg,5,structured,46,2,280.07,True,1,2025-05-14 17:47:30
berg,5,structured,47,3,326.24,True,1,2025-05-14 17:47:30
berg,5,structured,48,4,349.76,True,1,2025-05-14 17:47:31
berg,5,structured,49,1,397.53,True,1,2025-05-14 17:47:31
berg,5,structured,50,2,264.27,True,1,2025-05-14 17:47:32
berg,5,structured,51,1,332.97,True,1,2025-05-14 17:47:32
berg,5,structured,52,3,345.27,True,1,2025-05-14 17:47:32
berg,5,structured,53,2,330.11,True,1,2025-05-14 17:47:33
berg,5,structured,54,1,324.38,True,1,2025-05-14 17:47:33
berg,5,structured,55,4,339.59,True,1,2025-05-14 17:47:34
berg,5,structured,56,2,272.38,True,1,2025-05-14 17:47:34
berg,5,structured,57,3,274.71,True,1,2025-05-14 17:47:35
berg,5,structured,58,4,382.15,True,1,2025-05-14 17:47:35
berg,5,structured,59,1,338.52,True,1,2025-05-14 17:47:35
berg,5,structured,60,2,270.46,True,1,2025-05-14 17:47:36
berg,6,random,1,2,632.3,True,1,2025-05-14 17:47:37
berg,6,random,2,1,292.05,True,1,2025-05-14 17:47:38
berg,6,random,3,2,434.91,True,1,2025-05-14 17:47:38
berg,6,random,4,3,469.88,True,1,2025-05-14 17:47:39
berg,6,random,5,4,329.04,True,1,2025-05-14 17:47:39
berg,6,random,6,1,428.63,True,1,2025-05-14 17:47:40
berg,6,random,7,2,211.57,True,1,2025-05-14 17:47:40
berg,6,random,8,3,261.13,True,1,2025-05-14 17:47:40
berg,6,random,9,1,444.6,True,1,2025-05-14 17:47:41
berg,6,random,10,2,312.32,True,1,2025-05-14 17:47:41
berg,6,random,11,4,259.45,True,2,2025-05-14 17:47:42
berg,6,random,12,2,264.56,True,2,2025-05-14 17:47:43
berg,6,random,13,3,424.42,True,1,2025-05-14 17:47:43
berg,6,random,14,2,274.87,True,1,2025-05-14 17:47:44
berg,6,random,15,3,471.62,True,1,2025-05-14 17:47:44
berg,6,random,16,2,315.75,True,1,2025-05-14 17:47:45
berg,6,random,17,3,429.52,True,1,2025-05-14 17:47:45
berg,6,random,18,2,378.99,True,1,2025-05-14 17:47:46
berg,6,random,19,3,345.66,True,1,2025-05-14 17:47:46
berg,6,random,20,1,474.0,True,1,2025-05-14 17:47:47
berg,6,random,21,4,332.02,True,2,2025-05-14 17:47:48
berg,6,random,22,2,363.34,True,1,2025-05-14 17:47:48
berg,6,random,23,1,350.25,True,1,2025-05-14 17:47:49
berg,6,random,24,2,400.63,True,1,2025-05-14 17:47:49
berg,6,random,25,1,336.42,True,1,2025-05-14 17:47:49
berg,6,random,26,2,375.93,True,1,2025-05-14 17:47:50
berg,6,random,27,4,547.62,True,1,2025-05-14 17:47:51
berg,6,random,28,2,264.77,True,1,2025-05-14 17:47:51
berg,6,random,29,1,279.46,True,1,2025-05-14 17:47:51
berg,6,random,30,3,367.18,True,1,2025-05-14 17:47:52
berg,6,random,31,4,373.58,True,1,2025-05-14 17:47:52
berg,6,random,32,2,332.75,True,1,2025-05-14 17:47:53
berg,6,random,33,3,491.95,True,1,2025-05-14 17:47:53
berg,6,random,34,2,386.15,True,1,2025-05-14 17:47:54
berg,6,random,35,4,505.84,True,1,2025-05-14 17:47:54
berg,6,random,36,3,590.33,True,1,2025-05-14 17:47:55
berg,6,random,37,1,464.76,True,1,2025-05-14 17:47:56
berg,6,random,38,3,258.49,True,2,2025-05-14 17:47:56
berg,6,random,39,1,455.44,True,1,2025-05-14 17:47:57
berg,6,random,40,3,336.45,True,1,2025-05-14 17:47:57
berg,6,random,41,1,464.17,True,1,2025-05-14 17:47:58
berg,6,random,42,4,405.22,True,1,2025-05-14 17:47:58
berg,6,random,43,3,362.66,True,1,2025-05-14 17:47:59
berg,6,random,44,2,358.52,True,1,2025-05-14 17:47:59
berg,6,random,45,3,475.75,True,1,2025-05-14 17:48:00
berg,6,random,46,1,436.73,True,1,2025-05-14 17:48:00
berg,6,random,47,2,377.17,True,1,2025-05-14 17:48:01
berg,6,random,48,4,341.61,True,1,2025-05-14 17:48:01
berg,6,random,49,1,439.67,True,1,2025-05-14 17:48:02
berg,6,random,50,2,287.92,True,2,2025-05-14 17:48:03
berg,6,random,51,3,332.15,True,1,2025-05-14 17:48:03
berg,6,random,52,4,306.53,True,1,2025-05-14 17:48:04
berg,6,random,53,2,471.84,True,1,2025-05-14 17:48:04
berg,6,random,54,4,406.06,True,1,2025-05-14 17:48:05
berg,6,random,55,2,542.14,True,1,2025-05-14 17:48:05
berg,6,random,56,1,312.1,True,1,2025-05-14 17:48:06
berg,6,random,57,3,316.73,True,1,2025-05-14 17:48:06
berg,6,random,58,4,337.38,True,1,2025-05-14 17:48:07
berg,6,random,59,1,519.18,True,1,2025-05-14 17:48:07
berg,6,random,60,4,567.0,True,1,2025-05-14 17:48:08
berg,7,structured,1,1,477.34,True,1,2025-05-14 17:48:09
berg,7,structured,2,3,384.22,True,1,2025-05-14 17:48:10
berg,7,structured,3,2,304.52,True,1,2025-05-14 17:48:10
berg,7,structured,4,1,440.93,True,1,2025-05-14 17:48:11
berg,7,structured,5,4,283.73,True,1,2025-05-14 17:48:11
berg,7,structured,6,2,351.13,True,1,2025-05-14 17:48:11
berg,7,structured,7,3,366.92,True,1,2025-05-14 17:48:12
berg,7,structured,8,4,427.96,True,1,2025-05-14 17:48:12
berg,7,structured,9,1,466.3,True,1,2025-05-14 17:48:13
berg,7,structured,10,2,309.6,True,1,2025-05-14 17:48:13
berg,7,structured,11,1,332.17,True,1,2025-05-14 17:48:14
berg,7,structured,12,3,383.93,True,1,2025-05-14 17:48:14
berg,7,structured,13,2,325.11,True,1,2025-05-14 17:48:15
berg,7,structured,14,1,349.64,True,1,2025-05-14 17:48:15
berg,7,structured,15,4,338.52,True,1,2025-05-14 17:48:16
berg,7,structured,16,2,379.45,True,1,2025-05-14 17:48:16
berg,7,structured,17,3,462.0,True,1,2025-05-14 17:48:17
berg,7,structured,18,4,439.43,True,1,2025-05-14 17:48:17
berg,7,structured,19,1,562.7,True,1,2025-05-14 17:48:18
berg,7,structured,20,2,370.61,True,1,2025-05-14 17:48:18
berg,7,structured,21,1,354.89,True,1,2025-05-14 17:48:19
berg,7,structured,22,3,448.06,True,1,2025-05-14 17:48:19
berg,7,structured,23,2,301.31,True,1,2025-05-14 17:48:20
berg,7,structured,24,1,294.64,True,1,2025-05-14 17:48:20
berg,7,structured,25,4,326.5,True,1,2025-05-14 17:48:21
berg,7,structured,26,2,424.88,True,1,2025-05-14 17:48:21
berg,7,structured,27,3,387.38,True,1,2025-05-14 17:48:22
berg,7,structured,28,4,410.77,True,1,2025-05-14 17:48:22
berg,7,structured,29,1,374.12,True,1,2025-05-14 17:48:23
berg,7,structured,30,2,401.06,True,1,2025-05-14 17:48:23
berg,7,structured,31,1,406.87,True,1,2025-05-14 17:48:24
berg,7,structured,32,3,307.31,True,1,2025-05-14 17:48:24
berg,7,structured,33,2,408.26,True,1,2025-05-14 17:48:25
berg,7,structured,34,1,322.71,True,1,2025-05-14 17:48:25
berg,7,structured,35,4,316.8,True,1,2025-05-14 17:48:25
berg,7,structured,36,2,266.8,True,1,2025-05-14 17:48:26
berg,7,structured,37,3,354.18,True,1,2025-05-14 17:48:26
berg,7,structured,38,4,484.14,True,1,2025-05-14 17:48:27
berg,7,structured,39,1,436.3,True,1,2025-05-14 17:48:27
berg,7,structured,40,2,334.01,True,1,2025-05-14 17:48:28
berg,7,structured,41,1,576.23,True,1,2025-05-14 17:48:28
berg,7,structured,42,3,298.92,True,1,2025-05-14 17:48:29
berg,7,structured,43,2,520.07,True,1,2025-05-14 17:48:29
berg,7,structured,44,1,280.12,True,2,2025-05-14 17:48:30
berg,7,structured,45,4,370.72,True,1,2025-05-14 17:48:31
berg,7,structured,46,2,594.06,True,1,2025-05-14 17:48:31
berg,7,structured,47,3,411.69,True,1,2025-05-14 17:48:32
berg,7,structured,48,4,378.93,True,1,2025-05-14 17:48:32
berg,7,structured,49,1,318.39,True,1,2025-05-14 17:48:33
berg,7,structured,50,2,231.67,True,1,2025-05-14 17:48:33
berg,7,structured,51,1,379.47,True,1,2025-05-14 17:48:34
berg,7,structured,52,3,316.18,True,1,2025-05-14 17:48:34
berg,7,structured,53,2,425.63,True,1,2025-05-14 17:48:35
berg,7,structured,54,1,348.29,True,1,2025-05-14 17:48:35
berg,7,structured,55,4,296.71,True,1,2025-05-14 17:48:35
berg,7,structured,56,2,303.76,True,1,2025-05-14 17:48:36
berg,7,structured,57,3,251.82,True,1,2025-05-14 17:48:36
berg,7,structured,58,4,345.04,True,1,2025-05-14 17:48:37
berg,7,structured,59,1,410.2,True,1,2025-05-14 17:48:37
berg,7,structured,60,2,338.2,True,1,2025-05-14 17:48:38
berg,8,random,1,3,959.52,True,1,2025-05-14 17:48:39
berg,8,random,2,2,359.8,True,1,2025-05-14 17:48:40
berg,8,random,3,3,367.19,True,2,2025-05-14 17:48:40
berg,8,random,4,4,375.91,True,1,2025-05-14 17:48:41
berg,8,random,5,3,292.75,True,2,2025-05-14 17:48:42
berg,8,random,6,2,502.84,True,1,2025-05-14 17:48:42
berg,8,random,7,3,247.12,True,2,2025-05-14 17:48:43
